,Auction,Num Bids,Eng,Lowest Bid,2_bid,3_bid,4_bid,5_bid,6_bid,7_bid,8_bid,9_bid,10_bid
0,26055,2,1162614.0,1066564.5,1231284.0,,,,,,,,
1,20912,7,1800000.0,1747562.65,1870875.3,1878649.35,1889633.0,2391868.0,2397750.0,3325324.0,,,
2,24881,2,2536283.06,2924208.0,3710384.2,,,,,,,,
3,24921,3,2800000.01,2895069.0,2988158.0,3898085.16,,,,,,,
4,24063,5,4626079.2,3618938.3,3751213.5,3896707.4,4150364.02,4766033.32,,,,,
5,24610,8,39000000.0,45965236.0,46162718.07,49334414.86,49650899.6,51268186.3,53722791.56,58163150.69,62953677.5,,
6,22903,2,33000000.0,39607433.98,41898704.82,,,,,,,,
7,24935,2,1500000.0,1636786.0,2002227.5,,,,,,,,
8,24395,3,8300000.0,10512989.35,11774728.3,12895684.35,,,,,,,
9,23601,3,9659675.5,7017550.0,7164187.5,7672202.26,,,,,,,
10,23537,4,3300000.0,4120979.48,4209827.39,4217000.0,4713173.24,,,,,,
11,24993,4,755500.0,693730.0,716858.0,723424.0,759290.0,,,,,,
12,26355,1,1681461.8,1674070.3,,,,,,,,,
13,24224,6,7775000.0,8981782.6,8993737.0,11516040.0,11714615.02,11969290.67,13752936.39,,,,
14,24199,6,5715000.0,5486435.9,5988706.0,5997909.19,6735430.2,6934593.58,7258182.84,,,,
15,25137,3,2134570.0,1548999.0,1767901.0,2304736.0,,,,,,,
16,25850,3,1892184.0,1887265.0,1903178.5,4908460.0,,,,,,,
17,22193,2,18113461.21,21890679.16,22350277.47,,,,,,,,
18,26036,2,442975.0,555495.0,580075.0,,,,,,,,
19,26244,1,2900000.0,2493062.25,,,,,,,,,
20,25120,2,486879.0,545861.5,690000.0,,,,,,,,
21,21855,5,3663682.58,3098847.35,3436044.03,3704833.05,3799846.03,4180771.0,,,,,
22,24229,2,10569308.7,7080420.17,9187457.25,,,,,,,,
23,21400,2,5700000.0,5635899.39,6785575.3,,,,,,,,
24,25295,1,441058.75,414867.88,,,,,,,,,
25,23612,3,1244890.0,1540725.1,1558047.29,1559306.2,,,,,,,
26,22020,3,19126443.5,18991815.84,19214445.92,19763385.05,,,,,,,
27,25942,3,9017854.0,7902793.1,8123624.51,9448792.45,,,,,,,
28,26270,5,1900000.0,1848479.0,1903212.0,1921453.0,1999027.82,2152047.25,,,,,
29,24971,2,13281298.5,12661159.85,14304073.99,,,,,,,,
30,25071,3,4500000.01,4080829.29,4208925.96,4566597.19,,,,,,,
31,22992,1,11367503.0,12263410.53,,,,,,,,,
32,26419,1,1138965.0,986914.05,,,,,,,,,
33,25538,6,3500000.0,2321547.11,2324631.63,2448554.41,2502429.82,2678540.03,2765999.0,,,,
34,25279,2,680282.5,438107.0,446920.0,,,,,,,,
35,26438,5,1000000.0,784132.96,991400.0,1090698.0,1264995.0,1481853.0,,,,,
36,24208,3,16818052.0,14314966.6,16399849.41,17669719.4,,,,,,,
37,24414,1,5136933.22,5520588.7,,,,,,,,,
38,24394,1,1206000.0,1186600.16,,,,,,,,,
39,24646,5,1100000.0,670297.0,804689.5,884884.0,1098141.25,1269720.0,,,,,
40,25668,2,1001306.38,1222402.0,1812714.0,,,,,,,,
41,24795,3,474860.0,558097.5,649999.0,669129.0,,,,,,,
42,25293,5,1703392.84,1646566.34,1649635.2,2128148.6,2222428.0,2329649.39,,,,,
43,22036,5,5261535.0,5441723.08,5572733.6,5956425.4,6335184.98,6642699.0,,,,,
44,24412,1,1100007.0,749206.0,,,,,,,,,
45,24167,1,892580.0,1194545.0,,,,,,,,,
46,24639,5,2000000.0,1992436.8,2151653.81,3115089.9,3361362.85,3477938.9,,,,,
47,23688,2,700000.0,693896.87,1065888.0,,,,,,,,
48,25276,1,3000000.0,2989418.49,,,,,,,,,
49,24872,1,2105230.0,2745838.9,,,,,,,,,
50,20986,4,4800000.0,3780958.22,4611545.74,4681167.7,5139925.4,,,,,,
51,22338,4,4600000.0,4977656.25,7474337.0,7526451.86,7811688.6,,,,,,
52,23817,3,10200000.0,8656532.96,9472053.36,10610155.6,,,,,,,
53,24673,2,1323794.0,1469215.0,2414592.0,,,,,,,,
54,25817,1,4200000.0,4074430.23,,,,,,,,,
55,24994,3,362500.0,324225.0,378125.0,400750.0,,,,,,,
56,26262,3,687800.0,513949.0,574612.0,974786.0,,,,,,,
57,23327,4,6655701.0,5039495.35,5769288.05,6664213.9,6852458.8,,,,,,
58,25478,1,4000000.0,4923812.7,,,,,,,,,
59,23115,1,2700000.0,2240000.0,,,,,,,,,
60,24416,2,664000.0,916269.0,921504.39,,,,,,,,
61,23535,4,100925098.67,105158918.35,119757640.95,120156691.1,144805137.0,,,,,,
62,25016,3,479500.0,448255.86,565395.11,733399.6,,,,,,,
63,21591,2,4200000.0,4696233.75,6134493.89,,,,,,,,
64,25354,4,1600860.0,2131163.07,2295285.0,2433385.5,2604226.6,,,,,,
65,22702,1,1149370.0,1096643.8,,,,,,,,,
66,24509,4,2975099.0,2497837.0,2947473.8,3180448.1,4583220.76,,,,,,
67,24200,5,6864851.67,5111254.25,5123803.35,5331754.25,5929921.95,6399435.15,,,,,
68,24171,3,5883600.0,6877563.45,7321935.95,9486863.0,,,,,,,
69,21222,3,2300000.0,3070798.76,3331598.12,3412108.0,,,,,,,
70,20896,4,3000000.0,2827827.0,3298552.0,3420596.61,3597574.0,,,,,,
71,24884,3,15000000.0,17339986.92,19134061.25,19502109.81,,,,,,,
72,23698,5,1600000.0,1853073.44,2086400.0,2137416.0,2283705.01,3425024.0,,,,,
73,25140,5,3100000.0,2545678.1,2569727.5,2678575.8,2858528.01,3273284.69,,,,,
74,24667,3,5504571.43,6596527.0,6799770.0,7018649.74,,,,,,,
75,24015,3,4047501.0,4956044.15,6099999.0,7789750.02,,,,,,,
76,23623,2,560775.0,744942.0,766961.0,,,,,,,,
77,26328,3,650680.0,505000.0,565130.0,690420.0,,,,,,,
78,24666,7,10000000.0,9900432.72,10326840.5,10827181.4,11596000.0,11985226.25,12152417.02,15781467.1,,,
79,25524,3,385000.0,328376.56,414591.0,470646.0,,,,,,,
80,24092,2,13293410.95,14126484.41,14384518.38,,,,,,,,
81,23544,8,2100000.0,1697000.0,1705746.68,1798898.0,1938274.5,1986115.71,2132997.3,2134051.0,2220066.0,,
82,22547,8,12994800.0,13166577.55,14449351.84,14820130.1,14872670.35,15577074.45,16296445.93,17252092.63,20114461.9,,
83,23475,2,10036403.05,9490148.53,9636645.21,,,,,,,,
84,24032,6,1200000.0,1223303.25,1254660.5,1292605.55,1374985.0,1396713.0,1409515.0,,,,
85,23871,3,760000.0,748495.0,855383.0,1112035.87,,,,,,,
86,20169,4,8250688.0,6735433.99,7155000.0,9244165.0,9827284.1,,,,,,
87,21472,4,9596980.0,12879789.35,13342317.86,13874102.7,14211843.0,,,,,,
88,25035,3,1558896.85,1518388.73,1579977.13,2312223.75,,,,,,,
89,26352,3,3350000.0,2893852.87,3115025.43,3245086.62,,,,,,,
90,24951,2,830000.0,646748.0,713824.0,,,,,,,,
91,23971,3,353040.0,289870.0,372099.0,495955.7,,,,,,,
92,24672,2,235000.0,244433.0,258782.0,,,,,,,,
93,23110,2,7348166.0,9208179.5,10121937.7,,,,,,,,
94,25561,2,7800000.0,7438813.0,7563838.0,,,,,,,,
95,24894,1,47957757.02,47957757.02,,,,,,,,,
96,22381,5,22562575.75,26917300.0,26956035.93,27272031.05,31297035.57,34311607.82,,,,,
97,25037,4,20636218.7,20899040.68,21548702.5,24732732.0,25898971.88,,,,,,
98,26054,5,1765000.0,1388960.34,1523287.0,1609230.96,2075365.0,2166235.21,,,,,
99,24247,3,3591117.4,3297815.15,4645511.22,4675576.0,,,,,,,
100,24769,4,1541657.3,1564170.0,1802409.14,2127817.3,2477811.8,,,,,,
101,20706,3,1616536.5,1400000.0,1758282.0,1905226.73,,,,,,,
102,24198,2,5800000.0,5695695.99,6041043.79,,,,,,,,
103,24193,3,10300000.0,12723069.27,13739043.0,14232481.52,,,,,,,
104,25974,6,1536691.92,1520811.25,1734732.64,2170921.38,2252054.45,2635000.0,3440532.5,,,,
105,24142,2,4818686.0,3855000.0,4408564.0,,,,,,,,
106,25277,4,3096405.3,2191362.0,2447092.67,2513561.4,3551486.5,,,,,,
107,21801,4,4400000.0,4704411.4,5395010.32,5679258.64,6300630.0,,,,,,
108,24955,2,1945075.0,2089265.0,2181900.0,,,,,,,,
109,24477,2,1603530.0,2118114.0,3005795.0,,,,,,,,
110,23064,1,616297.0,715000.0,,,,,,,,,
111,22629,4,4821014.95,5098771.0,5500000.0,5637292.79,6234491.16,,,,,,
112,23592,2,7000000.0,6154075.8,6556359.85,,,,,,,,
113,24885,4,1372536.0,1190000.0,1269499.15,1415585.0,1432583.0,,,,,,
114,24772,1,1303223.0,1634083.0,,,,,,,,,
115,24678,2,8714550.0,7750316.1,8193117.3,,,,,,,,
116,23505,1,9382218.0,9280171.97,,,,,,,,,
117,24405,1,4302838.72,4432957.09,,,,,,,,,
118,23468,4,12800000.0,13997628.23,14120306.41,14206995.65,15278130.15,,,,,,
119,24670,3,8350901.0,9157473.0,9922134.5,10522532.11,,,,,,,
120,26275,1,16000000.0,15719271.04,,,,,,,,,
121,25317,4,1000000.0,1291761.85,1710063.25,1795399.4,2256216.5,,,,,,
122,24037,3,165064.5,174037.0,245313.0,246659.3,,,,,,,
123,23061,3,12005294.3,10674323.88,11312500.0,11964668.25,,,,,,,
124,24544,2,10443474.0,7922323.51,8104990.0,,,,,,,,
125,25447,1,4093739.61,4185920.67,,,,,,,,,
126,23758,4,4799153.0,4430539.3,5573850.0,6632188.0,6707410.5,,,,,,
127,25859,4,16500000.0,15810821.36,16986300.91,17257000.0,18417097.1,,,,,,
128,20960,3,5717768.5,6056197.46,6099750.0,6793415.65,,,,,,,
129,23873,4,765675.0,679000.0,789151.0,846200.75,1135986.0,,,,,,
130,24954,2,6085432.65,4806630.45,5539841.35,,,,,,,,
131,24878,4,3600000.0,2475000.0,2787162.0,2841622.0,3374031.9,,,,,,
132,24599,2,3570928.5,3369252.14,6295034.0,,,,,,,,
133,26343,3,498720.8,443963.2,504026.01,646179.6,,,,,,,
134,23443,3,2099909.0,1742097.0,2623501.0,3906556.0,,,,,,,
135,22465,1,11000000.0,12796063.7,,,,,,,,,
136,26578,5,600000.0,423380.0,508852.0,672607.0,762655.0,987620.0,,,,,
137,23019,1,5822199.44,6514608.17,,,,,,,,,
138,23499,2,6808711.0,6686562.84,7778375.35,,,,,,,,
139,25205,1,3935750.0,3801536.05,,,,,,,,,
140,23292,2,2300000.0,2854417.85,3206988.7,,,,,,,,
141,21556,3,24639386.9,22317300.0,24836000.0,26542435.32,,,,,,,
142,26311,3,4600000.0,4877179.8,5156048.77,5170025.6,,,,,,,
143,23697,3,7000000.0,6997892.42,7557886.15,10309324.9,,,,,,,
144,25166,1,3253459.13,3507949.39,,,,,,,,,
145,25444,2,2919144.5,2546291.82,2584400.94,,,,,,,,
146,22529,7,20447908.0,19126166.0,19225000.0,19344459.22,19880000.0,20148369.5,20179169.65,21327291.4,,,
147,25124,3,1644264.23,1476110.2,1645492.36,2137308.12,,,,,,,
148,24658,3,4220600.0,4128231.0,5473317.6,5775782.47,,,,,,,
149,24887,6,16087610.3,11942392.41,13381330.9,13896804.68,16281746.84,16708777.0,18418236.81,,,,
150,23191,2,2003463.75,2095832.0,2903962.13,,,,,,,,
151,25708,3,3429000.0,3295983.8,3353299.48,3786709.06,,,,,,,
152,22247,3,1900000.0,2097272.44,2175163.17,2453158.8,,,,,,,
153,21191,3,6000000.0,6049464.37,6119885.5,6754762.0,,,,,,,
154,25855,2,3460110.0,2887896.79,3767948.0,,,,,,,,
155,26617,2,610000.0,637922.5,643227.0,,,,,,,,
156,24966,2,502057.0,512963.0,538688.0,,,,,,,,
157,24770,2,1331712.5,1168613.0,1440759.15,,,,,,,,
158,24166,2,6856967.1,6632329.84,8293025.45,,,,,,,,
159,24905,2,36528643.2,36536568.67,46054100.3,,,,,,,,
160,23583,1,18685169.05,19290622.35,,,,,,,,,
161,24039,4,2854000.0,2938959.5,2975374.2,3055550.3,3382487.99,,,,,,
162,21825,3,2204476.0,2019305.0,2475221.15,2500000.0,,,,,,,
163,21657,5,2367440.0,2330855.24,2417158.64,2443976.32,3137117.1,3176159.25,,,,,
164,24425,4,6397540.32,4523363.45,5421969.0,5541765.0,6197430.74,,,,,,
165,24036,3,8340000.0,7525598.82,8604721.0,9194012.8,,,,,,,
166,25542,3,12300000.0,10791598.34,11233000.0,14550161.74,,,,,,,
167,23862,4,8300000.0,9459567.99,10394114.0,10669896.62,10900567.32,,,,,,
168,24956,3,2943356.5,2824931.56,2827750.0,3165243.25,,,,,,,
169,25873,1,1620000.0,1348751.9,,,,,,,,,
170,25036,1,6472679.5,6657728.1,,,,,,,,,
171,23465,4,5398559.0,4300000.0,5577203.25,6279174.0,6361631.0,,,,,,
172,24682,3,19300028.4,14264485.27,15857724.22,18867748.37,,,,,,,
173,25236,2,6088206.4,4408676.5,5096891.65,,,,,,,,
174,24620,7,17200000.0,18405711.55,19062688.44,19976086.3,21715000.0,22542467.0,22861025.41,25311266.0,,,
175,23513,2,12307150.5,13523000.0,15744394.0,,,,,,,,
176,24237,2,5843695.3,5028719.8,5379008.8,,,,,,,,
177,23423,2,7802160.0,6035626.55,6698734.0,,,,,,,,
178,24889,2,9670558.52,8097729.83,8711003.8,,,,,,,,
179,19164,6,2650000.0,2595839.0,2857745.88,2862180.27,2899476.98,3506600.0,3540211.0,,,,
180,24417,5,30939340.0,34726159.27,39239579.9,40648531.32,42000000.0,48986717.95,,,,,
181,22601,4,14000000.0,8951969.26,10261959.29,10435794.79,12633807.25,,,,,,
182,24674,2,1304061.0,1419926.3,1423189.0,,,,,,,,
183,25672,1,92317.0,145553.23,,,,,,,,,
184,23509,5,5163650.0,5188517.45,5781405.21,5872056.61,6040371.5,6089461.7,,,,,
185,24184,1,3069276.0,3032752.0,,,,,,,,,
186,24463,2,315640.0,348232.0,600595.0,,,,,,,,
187,26050,2,172000.0,145265.11,171596.2,,,,,,,,
188,23838,1,5167055.0,8447636.0,,,,,,,,,
189,24415,3,650456.0,704678.03,840593.0,844190.33,,,,,,,
190,25499,3,783903.0,566501.0,657493.0,675000.0,,,,,,,
191,25737,1,2661153.0,3147379.0,,,,,,,,,
192,23192,2,1762417.0,1957891.0,2178612.0,,,,,,,,
193,25263,2,1200000.0,1141961.9,1209999.0,,,,,,,,
194,23444,3,2000000.0,1677136.45,2541255.0,2920456.95,,,,,,,
195,23557,5,7768831.5,7499484.8,8087845.6,8099000.0,8197502.29,8476551.95,,,,,
196,19771,4,4363623.0,3776448.13,3920068.23,4150000.0,6639728.63,,,,,,
197,24238,3,1367244.45,1165615.42,1674909.15,1882270.69,,,,,,,
