,Tot,C,P,G,Incident,Aircraft,Location,Phase,Airport,Distance,Date,Airline,sole_survivor,no_survivor,prev_deadliest,prev_deadliest_no_survivor,COM,EXG,EXS,INB,INH,MIL
222,95,6.0,89.0,0.0,Air France Flight 1611,Sud Aviation SE-210 Caravelle III,"Mediterranean, nearNice, France",ENR,,,1968-09-11,Air France,0,1,0,0,0,1,0,0,0,0
223,95,8.0,87.0,0.0,American Airlines Flight 1,Boeing 707-123B,"Jamaica Bay, New York, U.S.",ICL,IDL,c. 6 km (3.2 NM),1962-03-01,American Airlines,0,1,0,0,1,0,0,0,0,0
224,94,7.0,87.0,0.0,TAME Flight 120,Boeing 727-134,"Cumbal Volcano, Colombia",APR,TUA,c. 21 km (11 NM),2002-01-28,TAME,0,1,0,0,1,0,0,0,0,0
225,94,12.0,82.0,0.0,Aeroflot Flight 8381 and Soviet Air Force (SSSR-26492),Tupolev Tu-134 and Antonov An-26,"Zolochiv,Ukrainian SSR, USSR",APR/ENR,LWO,68 km (37 NM),1985-05-03,Aeroflot,0,1,0,0,1,0,0,0,0,0
226,94,9.0,85.0,0.0,Alitalia Flight 771,McDonnell Douglas DC-8-43,"Junnar, India",ENR,,,1962-07-07,Alitalia,0,1,0,0,1,0,0,0,0,0
227,93,6.0,87.0,0.0,Aerovias Guatemala Caravelle (HC-BAE),Sud Aviation SE-210 Caravelle III,"Flores, Guatemala",APR,FRS,8 km (4.3 NM),1986-01-18,Aerovias Guatemala Caravelle (HC-BAE),0,1,0,0,1,0,0,0,0,0
228,93,6.0,87.0,0.0,Iberia Flight 350 and Aviaco Flight 134,Boeing 727 and McDonnell Douglas DC-9,"Madrid, Spain",TOF/TXI,MAD,,1983-12-07,Iberia and Aviaco,0,0,0,0,1,0,0,0,0,0
229,92,8.0,84.0,0.0,Russian Air Force (RA-85572),Tupolev Tu-154,"Black Sea, offAdler, Russia",ENR,,,2016-12-25,Russian Air Force (RA-85572),0,1,0,0,0,0,0,0,0,1
230,92,4.0,88.0,0.0,Indian Airlines Flight 605,Airbus A320-231,"Bangalore, India",APR,VOBG,0.7 km (0.38 NM),1990-02-14,Indian Airlines,0,0,0,0,1,0,0,0,0,0
231,92,7.0,85.0,0.0,Trans World Airlines Flight 514,Boeing 727-231,"Mount Weather, Virginia, U.S.",APR,DCA,40 km (22 NM),1974-12-01,Trans World Airlines,0,1,0,0,1,0,0,0,0,0
232,92,7.0,85.0,0.0,Aeroflot Flight U-45,Ilyushin Il-18V,"Bulungur District,Uzbek SSR, USSR",ENR,,,1970-02-06,Aeroflot,0,0,0,0,1,0,0,0,0,0
233,91,5.0,86.0,0.0,Sudanese Air Force,Lockheed C-130H Hercules,"Jabal Awliya, Sudan",ENR,,,1996-02-26,Sudanese Air Force,0,1,0,0,0,0,0,0,0,1
234,91,3.0,0.0,88.0,Lloyd Aereo Boliviano (N730JP),Boeing 707-131F,"Santa Cruz, Bolivia",ICL,SRZ,0.6 km (0.32 NM),1976-10-13,Lloyd Aereo Boliviano (N730JP),0,1,0,0,1,0,0,0,0,0
235,91,6.0,85.0,0.0,LANSA Flight 508,Lockheed L-188 Electra,"Puerto Inca, Peru",ENR,,,1971-12-24,LANSA,1,0,0,0,1,0,0,0,0,0
236,90,8.0,82.0,0.0,Ethiopian Airlines Flight 409,Boeing 737-8AS,"Mediterranean, offNa'ameh, Lebanon",ICL,BEY,11 km (5.9 NM),2010-01-25,Ethiopian Airlines,0,1,0,0,1,0,0,0,0,0
237,90,5.0,85.0,0.0,One-Two-GO Airlines Flight 269,McDonnell Douglas MD-82,"Phuket, Thailand",LDG,HKT,,2007-09-16,One-Two-GO Airlines,0,0,0,0,1,0,0,0,0,0
238,90,7.0,83.0,0.0,Aeroflot Flight 5463,Tupolev Tu-134A,"Almaty,Kazakh SSR, USSR",APR,ALA,36 km (19 NM),1983-08-30,Aeroflot,0,1,0,0,1,0,0,0,0,0
239,90,8.0,82.0,0.0,Aeroflot Flight 411,Ilyushin Il-62M,"Mendeleyevo, Russian SFSR, USSR",ICL,SVO,11.4 km (6.2 NM),1982-07-06,Aeroflot,0,1,0,0,1,0,0,0,0,0
240,90,8.0,82.0,0.0,Aeroflot Flight 3843,Tupolev Tu-104A,"Almaty,Kazakh SSR, USSR",APR,ALA,3.5 km (1.9 NM),1977-01-13,Aeroflot,0,1,0,0,1,0,0,0,0,0
241,90,10.0,76.0,4.0,Japan Air Lines Flight 471,Douglas DC-8-53,"New Delhi, India",APR,DEL,c. 20 km (11 NM),1972-06-14,Japan Air Lines,0,0,0,0,1,0,0,0,0,0
242,90,5.0,85.0,0.0,Olympic Airways Flight 954,Douglas DC-6,"Keratea, Greece",APR,***,c. 23 km (12 NM),1969-12-08,Olympic Airways,0,1,0,0,1,0,0,0,0,0
243,89,8.0,81.0,0.0,Royal Saudi Air Force (453),Lockheed C-130E Hercules,"Medina, Saudi Arabia",ICL,MED,c. 1 km (0.54 NM),1980-09-14,Royal Saudi Air Force (453),0,1,0,0,0,0,0,0,0,1
244,89,6.0,83.0,0.0,Delta Air Lines Flight 723,McDonnell Douglas DC-9-31,"Boston, Massachusetts, U.S.",APR,BOS,1 km (0.54 NM),1973-07-31,Delta Air Lines,0,1,0,0,1,0,0,0,0,0
245,88,6.0,82.0,0.0,Aeroflot Flight 821,Boeing 737-505,"Perm, Russia",APR,PEE,11.5 km (6.2 NM),2008-09-14,Aeroflot,0,1,0,0,1,0,0,0,0,0
246,88,5.0,83.0,0.0,Alaska Airlines Flight 261,McDonnell Douglas MD-83,"Pacific Ocean, offAnacapa Island, California, U.S.",ENR,,,2000-01-31,Alaska Airlines,0,1,0,0,1,0,0,0,0,0
247,88,8.0,80.0,0.0,Iranian Air Force,Lockheed C-130 Hercules,"Mashhad, Iran",ENR,,,1997-03-13,Iranian Air Force,0,1,0,0,0,0,0,0,0,1
248,88,9.0,79.0,0.0,Trans World Airlines Flight 841,Boeing 707-331B,"Mediterranean, area ofCephalonia, Greece",ENR,,,1974-09-08,Trans World Airlines,0,1,0,0,0,0,0,1,0,0
249,88,5.0,83.0,0.0,Air Ferry DC-4 G-APYK,Douglas C-54 Skymaster,"Mont Canigou, France",ENR,,,1967-06-03,Air Ferry DC-4 G-APYK,0,1,0,0,1,0,0,0,0,0
250,87,5.0,82.0,0.0,Air Inter Flight 5148,Airbus A320-111,"Barr, France",APR,SXB,19.5 km (10.5 NM),1992-01-20,Air Inter,0,0,0,0,1,0,0,0,0,0
251,87,10.0,77.0,0.0,LOT Polish Airlines Flight 007,Ilyushin Il-62,"Warsaw, Poland",APR,WAW,0.86 km (0.46 NM),1980-03-14,LOT Polish Airlines,0,1,0,0,1,0,0,0,0,0
252,87,11.0,76.0,0.0,Nigeria Airways Flight 925,Vickers VC10,"Lagos, Nigeria",APR,LOS,13 km (7.0 NM),1969-11-20,Nigeria Airways,0,1,0,0,1,0,0,0,0,0
253,87,7.0,80.0,0.0,LAN Chile Flight 107,Douglas DC-6,"San Jose Volcano, Chile",ENR,,,1965-02-06,LAN Chile,0,1,0,0,1,0,0,0,0,0
254,87,9.0,78.0,0.0,Aeroflot Flight 721,Ilyushin Il-18V,"Yuzhno Sakhalinsk, Russian SFSR, USSR",APR,UUS,26 km (14 NM),1964-09-02,Aeroflot,0,0,0,0,1,0,0,0,0,0
255,87,5.0,82.0,0.0,US Air Force (50-0100),Douglas C-124A Globemaster II,"Moses Lake, Washington, U.S.",ICL,LRN,4 km (2.2 NM),1952-12-20,US Air Force (50-0100),0,0,1,0,0,0,0,0,0,1
256,86,6.0,79.0,1.0,Aviaco Flight 118,Sud Aviation SE 210 Caravelle 10R,"A Coruna, Spain",APR,LCG,11 km (5.9 NM),1973-08-13,Aviaco,0,1,0,0,1,0,0,0,0,0
257,86,7.0,79.0,0.0,Aeroflot Flight 03,Tupolev Tu-104A,"Yelabuga,Tatar ASSR, Russian SFSR, USSR",ENR,,,1962-09-03,Aeroflot,0,1,0,0,1,0,0,0,0,0
258,85,6.0,79.0,0.0,Tajikistan Airlines Flight 3183,Tupolev Tu-154B-1,"Sharjah, United Arab Emirates",APR,SHJ,13 km (7.0 NM),1997-12-15,Tajikistan Airlines,1,0,0,0,1,0,0,0,0,0
259,85,5.0,80.0,0.0,Braniff International Airways Flight 352,Lockheed L-188A Electra,"Dawson, Texas, U.S.",ENR,,,1968-05-03,Braniff International Airways,0,1,0,0,1,0,0,0,0,0
260,85,4.0,81.0,0.0,US Air Force C-123 (56-4376),Fairchild C-123B-18-FA Provider,"Tuy Hoa, Vietnam",ENR,,,1965-12-11,US Air Force C-123 (56-4376),0,1,0,0,0,0,0,0,0,1
261,85,4.0,81.0,0.0,Paradise Airlines Flight 901A,Lockheed L-049 Constellation,"Genoa, Nevada, U.S.",ENR,,,1964-03-01,Paradise Airlines,0,1,0,0,1,0,0,0,0,0
262,84,7.0,77.0,0.0,Aeroflot Flight 2808,Tupolev Tu-134A,"Andreevo,Ivanovo Oblast, Russia",APR,IWA,3 km (1.6 NM),1992-08-27,Aeroflot,0,1,0,0,1,0,0,0,0,0
263,84,0.0,84.0,0.0,Fuerza Aerea S and inista (265),Mil Mi-8TV,"San Andres de Bocay, Nicaragua",UNK,,,1982-12-09,Fuerza Aerea S and inista (265),0,0,0,0,0,0,0,0,0,1
264,84,12.0,72.0,0.0,US Air Force (60-0373),Boeing C-135 Stratolifter,"Santiago Canyon, California, U.S.",ENR,,,1965-06-25,US Air Force (60-0373),0,1,0,0,0,0,0,0,0,1
265,84,5.0,79.0,0.0,Eastern Air Lines Flight 663,Douglas DC-7B,"Atlantic Ocean, offJones Beach, New York, U.S.",ENR,,,1965-02-08,Eastern Air Lines,0,1,0,0,1,0,0,0,0,0
266,84,8.0,76.0,0.0,Aeroflot Flight 902,Tupolev Tu-104A,"Voznesenka,Krasnoyarsk Krai, Russian SFSR, USSR",ENR,,,1962-06-30,Aeroflot,0,1,0,0,0,1,0,0,0,0
267,83,4.0,79.0,0.0,Singapore Airlines Flight 006,Boeing 747-412,"Dayuan District, Taiwan",TOF,TPE,,2000-10-31,Singapore Airlines,0,0,0,0,1,0,0,0,0,0
268,83,11.0,72.0,0.0,Russian Air Force (RA-74295),Ilyushin Il-18D,"Zundagi,Adjara, Georgia",APR,BUS,18 km (9.7 NM),2000-10-25,Russian Air Force (RA-74295),0,1,0,0,0,0,0,0,0,1
269,83,4.0,79.0,0.0,Palair Macedonian Airlines Flight 301,Fokker 100,"Petrovec, Republic of Macedonia",ICL,SKP,0.38 km (0.21 NM),1993-03-05,Palair Macedonian Airlines,0,0,0,0,1,0,0,0,0,0
270,83,5.0,78.0,0.0,Afghanistan Air Force,Antonov An-12,"Shindand, Afghanistan",ICL,OAH,,1990-08-10,Afghanistan Air Force,0,1,0,0,0,0,0,0,0,1
271,83,9.0,74.0,0.0,Thai Airways Flight 365,Boeing 737-2P5,"Phuket, Thailand",APR,HKT,15 km (8.1 NM),1987-08-31,Thai Airways,0,1,0,0,1,0,0,0,0,0
272,83,5.0,78.0,0.0,Allegheny Airlines Flight 853 and Private aircraft (N7374J),McDonnell Douglas DC-9-30 and Piper PA-28 Cherokee,"Fairland, Indiana, U.S.",ENR,,,1969-09-09,Allegheny Airlines,0,1,0,0,1,0,0,0,0,0
273,83,9.0,74.0,0.0,Aeroflot Flight 15,Ilyushin Il-18D,"Parchum,Chunsky District, Russian SFSR, USSR",ENR,,,1968-02-29,Aeroflot,1,0,0,0,1,0,0,0,0,0
274,83,5.0,78.0,0.0,American Flyers Airline Flight 280/D,Lockheed L-188 Electra,"Ardmore, Oklahoma, U.S.",APR,ADM,2.4 km (1.3 NM),1966-04-22,American Flyers Airline,0,0,0,0,1,0,0,0,0,0
275,83,8.0,75.0,0.0,British Eagle International Airlines Flight 802/6,Bristol 175 Britannia 312,"Glungezermountain, Austria",ENR,,,1964-02-29,British Eagle International Airlines,0,1,0,0,1,0,0,0,0,0
276,83,6.0,77.0,0.0,President Airlines (N90773),Douglas DC-6B,"Shannon, Ireland",ICL,SNN,1.5 km (0.81 NM),1961-09-10,President Airlines (N90773),0,1,0,0,1,0,0,0,0,0
277,82,5.0,77.0,0.0,Tajikistan Airlines (87995),Yakovlev Yak-40,"Khorog, Tajikistan",TOF,UTOD,0.2 km (0.11 NM),1993-08-28,Tajikistan Airlines (87995),0,0,0,0,1,0,0,0,0,0
278,82,7.0,60.0,15.0,Aeromexico Flight 498 and Private aircraft (N4891F),McDonnell Douglas DC-9-32 and Piper PA-28-181 Archer,"Cerritos, California, U.S.",APR,LAX,c. 33 km (18 NM),1986-08-31,Aeromexico,0,1,0,0,1,0,0,0,0,0
279,82,8.0,74.0,0.0,Aeroflot Flight 109,Tupolev Tu-104B,"Area ofChita, Russian SFSR, USSR",ENR,,,1973-05-19,Aeroflot,0,1,0,0,0,0,0,1,0,0
280,82,6.0,76.0,0.0,Piedmont Airlines Flight 22 and Private aircraft (N31215S),Boeing 727-22 and Cessna 310,"Hendersonville, North Carolina, U.S.",ENR,,,1967-07-19,Piedmont Airlines,0,1,0,0,1,0,0,0,0,0
281,82,8.0,74.0,0.0,TABSO Flight 101,Ilyushin Il-18B,"Bratislava,Czechoslovakia",ENR,,,1966-11-24,TABSO,0,1,0,0,1,0,0,0,0,0
282,81,4.0,77.0,0.0,Itavia Flight 870,McDonnell Douglas DC-9-15,"Tyrrhenian Sea, nearUstica, Italy",ENR,,,1980-06-27,Itavia,0,1,0,0,0,0,1,0,0,0
283,81,15.0,66.0,0.0,Middle East Airlines Flight 438,Boeing 720-023B,"As Sufayri,Hafar al-Batin, Saudi Arabia",ENR,,,1976-01-01,Middle East Airlines,0,1,0,0,0,0,0,1,0,0
284,81,10.0,71.0,0.0,Cathay Pacific Airways Flight 700Z,Convair 880-22M-21,"ofPleiku, Vietnam",ENR,,,1972-06-15,Cathay Pacific Airways,0,1,0,0,0,0,0,1,0,0
285,81,8.0,73.0,0.0,Pan Am Flight 214,Boeing 707-121,"Elkton, Maryland, U.S.",APR,PHL,55 km (30 NM),1963-12-08,Pan Am,0,1,0,0,1,0,0,0,0,0
286,81,7.0,74.0,0.0,Aeroflot Flight 415,Antonov An-10A,"Kholodnaya Rechka,Gagra District,Abkhaz ASSR,Georgian SSR, USSR",APR,AER,21 km (11 NM),1962-07-28,Aeroflot,0,1,0,0,1,0,0,0,0,0
287,80,9.0,71.0,0.0,Moroccan Air Force (CAN-OQ),Lockheed C-130 Hercules,"Goulimime, Morocco",APR,GLN,10 km (5.4 NM),2011-07-26,Moroccan Air Force (CAN-OQ),0,1,0,0,0,0,0,0,0,1
288,80,14.0,56.0,10.0,Cubana de Aviacion Flight 389,Tupolev Tu-154M,"Quito, Ecuador",TOF,UIO,,1998-08-29,Cubana de Aviacion,0,0,0,0,1,0,0,0,0,0
289,80,4.0,76.0,0.0,Air Mauritanie Flight 625,Fokker F28 Fellowship 4000,"Tidjikja, Mauritania",LDG,TIY,,1994-07-01,Air Mauritanie,0,0,0,0,1,0,0,0,0,0
290,80,4.0,76.0,0.0,Fuerza Aerea Colombiana (FAC-902),Douglas DC-6B,"Leticia, Colombia",ENR,,,1985-07-24,Fuerza Aerea Colombiana (FAC-902),0,1,0,0,1,0,0,0,0,0
291,80,,,20.0,Iranian Air Force (5-8552),Lockheed C-130H Hercules,"Kahrizak, Iran",ENR,,,1981-09-29,Iranian Air Force (5-8552),0,1,0,0,0,0,0,0,0,1
292,80,7.0,73.0,0.0,Union de Transportes Aeriens (F-BHMS),Douglas DC-6B,"Mount Alcazaba, Spain",ENR,,,1964-10-02,Union de Transportes Aeriens (F-BHMS),0,1,0,0,1,0,0,0,0,0
293,80,5.0,74.0,1.0,US Air Force (61-0332),Boeing C-135B,"Angeles City, Philippines",APR,CRK,<0.1 km (0.054 NM),1964-05-11,US Air Force (61-0332),0,0,0,0,0,0,0,0,0,1
294,80,6.0,74.0,0.0,Swissair Flight 306,Sud Aviation SE-210 Caravelle III,"Durrenasch, Switzerland",ENR,,,1963-09-04,Swissair,0,1,0,0,1,0,0,0,0,0
295,80,7.0,73.0,0.0,World Airways Flight 830,Douglas DC-6A,"Mount Barrigada, nearBarrigada, Guam, U.S.",ENR,,,1960-09-19,World Airways,0,0,0,0,1,0,0,0,0,0
296,80,9.0,71.0,0.0,Aeroflot (CCCP-42362),Tupolev Tu-104A,"Vurnarsky District,Chuvash ASSR, Russian SFSR, USSR",ENR,,,1958-10-17,Aeroflot (CCCP-42362),0,1,0,0,1,0,0,0,0,0
297,80,5.0,75.0,0.0,Fairflight (G-AKBY),Avro 689 Tudor V,"Sigingstone, Wales, UK",APR,***,0.76 km (0.41 NM),1950-03-12,Fairflight (G-AKBY),0,0,1,0,1,0,0,0,0,0
298,79,3.0,72.0,4.0,Korean Air Flight 803,McDonnell Douglas DC-10-30,"Tripoli, Libya",APR,TIP,c. 2 km (1.1 NM),1989-07-27,Korean Air,0,0,0,0,1,0,0,0,0,0
299,79,7.0,72.0,0.0,Aeroflot Flight 630,Ilyushin Il-18V,"Khujand,Tajik SSR, USSR",ENR,,,1973-02-24,Aeroflot,0,1,0,0,1,0,0,0,0,0
300,79,6.0,73.0,0.0,US Air Force (55-4574),Fairchild C-123K,"Khanh Phu,Khanh Hoa Province, Vietnam",ENR,,,1970-11-27,US Air Force (55-4574),0,1,0,0,0,0,0,0,0,1
301,79,7.0,72.0,0.0,Mexicana de Aviacion Flight 704,Boeing 727-64,"El Carmen, Mexico",ENR,,,1969-06-04,Mexicana de Aviacion,0,1,0,0,1,0,0,0,0,0
302,79,6.0,73.0,0.0,Maritime Central Airways Flight 315,Douglas DC-4,"Issoudun, Quebec, Canada",ENR,,,1957-08-11,Maritime Central Airways,0,1,0,0,1,0,0,0,0,0
303,79,6.0,73.0,0.0,Luftwaffe,Dornier Do 24,"Lake Resko, Poland",TOF,,,1945-03-05,Luftwaffe,1,0,0,0,0,0,0,0,0,1
304,78,12.0,66.0,0.0,Siberia Airlines Flight 1812,Tupolev Tu-154M,"Black Sea, area ofUnye, Turkey",ENR,,,2001-10-04,Siberia Airlines,0,1,0,0,0,1,0,0,0,0
305,78,4.0,70.0,4.0,Air Florida Flight 90,Boeing 737-222,"Washington, D.C., United States",ICL,DCA,1.4 km (0.76 NM),1982-01-13,Air Florida,0,0,0,0,1,0,0,0,0,0
306,78,7.0,70.0,1.0,Indian Air Force,Antonov An-12,"Leh, India",APR,IXL,0.5 km (0.27 NM),1978-11-19,Indian Air Force,0,1,0,0,0,0,0,0,0,1
307,78,3.0,75.0,0.0,Wenela Air Services (A2-ZER),Douglas DC-4,"Francistown, Botswana",APR,FRW,3.6 km (1.9 NM),1974-04-04,Wenela Air Services (A2-ZER),0,0,0,0,1,0,0,0,0,0
308,78,10.0,68.0,0.0,Pan Am Flight 816,Boeing 707-321B,"Pacific Ocean, offPapeete, Tahiti, French Polynesia",ENR,,,1973-07-22,Pan Am,1,0,0,0,1,0,0,0,0,0
309,78,3.0,75.0,0.0,Aviogenex Flight 130,Tupolev Tu-134A,"Omisalj,SR Croatia,Yugoslavia",LDG,RJK,,1971-05-23,Aviogenex,0,0,0,0,1,0,0,0,0,0
310,78,5.0,73.0,0.0,Trans World Airlines Flight 529,Lockheed L-049 Constellation,"Hinsdale, Illinois, U.S.",ENR,,,1961-09-01,Trans World Airlines,0,1,0,0,1,0,0,0,0,0
311,78,9.0,69.0,0.0,Air France Flight 406,Lockheed L-1649A Starliner,"Zarzaitine, Algeria",ENR,,,1961-05-10,Air France,0,1,0,0,0,0,0,1,0,0
312,77,4.0,72.0,0.0,Algerian Air Force C-130,Lockheed C-130 Hercules,"Ain Kercha,Oum El Bouaghi Province, Algeria",ENR,,,2014-02-11,Algerian Air Force C-130,1,0,0,0,0,0,0,0,0,1
313,77,8.0,69.0,0.0,Iran Air Flight 277,Boeing 727-286Adv,"Urmia, Iran",APR,OMH,8 km (4.3 NM),2011-01-09,Iran Air,0,0,0,0,1,0,0,0,0,0
314,77,0.0,0.0,77.0,Sknyliv air show disaster,Sukhoi Su-27,"Lviv, Ukraine",MNV,LWO,,2002-07-27,Sknyliv air show disaster,0,0,0,0,0,0,0,0,0,1
315,77,9.0,68.0,0.0,Soviet Air Force (CCCP-86732),Ilyushin IL-76M,"Gyumri, Armenia",APR,LWN,15 km (8.1 NM),1988-12-11,Soviet Air Force (CCCP-86732),1,0,0,0,0,0,0,0,0,1
316,77,1.0,76.0,0.0,Aeroflot Flight 5003,Ilyushin Il-18V,"Mineralnye Vody, Russian SFSR, USSR",APR,MRV,<5 km (2.7 NM),1977-02-15,Aeroflot,0,0,0,0,1,0,0,0,0,0
317,77,3.0,74.0,0.0,Imperial Airlines Flight 201/8,Lockheed L-049 Constellation,"Richmond, Virginia, U.S.",APR,RIC,1.5 km (0.81 NM),1961-11-08,Imperial Airlines,0,0,0,0,1,0,0,0,0,0
318,77,6.0,71.0,0.0,Air France Flight 2005,Sud Aviation SE-210 Caravelle III,"Rabat, Morocco",APR,RBA,9 km (4.9 NM),1961-09-12,Air France,0,1,0,0,1,0,0,0,0,0
319,76,5.0,71.0,0.0,Afghanistan Air Force,Antonov An-32,"Tashkurgan, Afghanistan",ENR,,,1993-04-27,Afghanistan Air Force,0,1,0,0,0,0,0,0,0,1
320,76,6.0,70.0,0.0,Ceskoslovenske Statni Aerolinie Flight 001,Ilyushin Il-18B,"Bratislava,Czechoslovakia",APR,BTS,1.5 km (0.81 NM),1976-07-28,Ceskoslovenske Statni Aerolinie,0,0,0,0,1,0,0,0,0,0
321,76,5.0,69.0,2.0,Air Vietnam C-54D (XV-NUG) and US Air Force,Douglas C-54D-10-DC Skymaster and F-4 Phantom II,"Da Nang, Vietnam",APR,DAD,3 km (1.6 NM),1969-09-20,Air Vietnam C-54D (XV-NUG) and US Air Force,1,0,0,0,0,0,0,0,0,1
322,75,13.0,62.0,0.0,Ukrainian-Mediterranean Airlines Flight 4230,Yakovlev Yak-42,"Macka,Trabzon, Turkey",APR,TZX,c. 23 km (12 NM),2003-05-26,Ukrainian-Mediterranean Airlines,0,1,0,0,1,0,0,0,0,0
323,75,5.0,70.0,0.0,Turkish Airlines Flight 634,Avro RJ100,"Diyarbakir, Turkey",APR,DIY,0.9 km (0.49 NM),2003-01-08,Turkish Airlines,0,0,0,0,1,0,0,0,0,0
324,75,6.0,69.0,0.0,Peruvian Air Force (FAP-351),Boeing 737-282,"Andoas, Peru",ENR,,,1998-05-05,Peruvian Air Force (FAP-351),0,0,0,0,1,0,0,0,0,0
325,75,5.0,70.0,0.0,Sri Lanka Air Force (CR861),Antonov An-32B,"Laccadive Sea, offColombo, Sri Lanka",ENR,,,1995-09-12,Sri Lanka Air Force (CR861),0,1,0,0,0,0,0,0,0,1
326,75,12.0,63.0,0.0,Aeroflot Flight 593,Airbus A310-304,"Mezhdurechensk, Russia",ENR,,,1994-03-23,Aeroflot,0,1,0,0,1,0,0,0,0,0
327,76,3.0,73.0,0.0,Vietnam Airlines Flight 831,Tupolev Tu-134,"Lam Luk Ka District, Thailand",APR,DMK,6 km (3.2 NM),1988-09-09,Vietnam Airlines,0,0,0,0,1,0,0,0,0,0
328,75,4.0,71.0,0.0,Inex-Adria Aviopromet Flight 450,McDonnell Douglas DC-9-32,"Prague,Czechoslovakia",APR,PRG,8 km (4.3 NM),1975-10-30,Inex-Adria Aviopromet,0,0,0,0,1,0,0,0,0,0
329,75,6.0,69.0,0.0,Avensa Flight 358,McDonnell Douglas DC-9-14,"Maturin, Venezuela",ENR,,,1974-12-22,Avensa,0,1,0,0,1,0,0,0,0,0
330,75,8.0,67.0,0.0,Air Vietnam Flight 706,Boeing 727-121C,"Phan Rang, Vietnam",ICL,DAD,,1974-09-15,Air Vietnam,0,1,0,0,0,0,0,0,1,0
331,75,4.0,71.0,0.0,Southern Airways Flight 932,McDonnell Douglas DC-9-31,"Ceredo, West Virginia, U.S.",APR,HTS,1.6 km (0.86 NM),1970-11-14,Southern Airways,0,1,0,0,1,0,0,0,0,0
332,74,6.0,68.0,0.0,Russian Air Force (RF-86868),Ilyushin Il-76M,"Yablonovo,Korochansky District,Belgorod Oblast, Russia",ENR,,,2024-01-24,Russian Air Force (RF-86868),0,1,0,0,0,1,0,0,0,0
333,74,4.0,70.0,0.0,Hewa Bora Airways Flight 952,Boeing 727-022,"Kisangani, DR Congo",LDG,FKI,<0.1 km (0.054 NM),2011-07-08,Hewa Bora Airways,0,0,0,0,1,0,0,0,0,0
334,74,5.0,69.0,0.0,Austral Lineas Aereas Flight 2553,McDonnell Douglas DC-9-32,"UrNuevo Berlin, nearFray Bentos,Uruguay",ENR,,,1997-10-10,Austral Lineas Aereas,0,1,0,0,1,0,0,0,0,0
